0x0	0xd
0x2b78B0x232fB0x137c	0x2b83B0x232fB0x137c
0x2bf1B0x232fB0x137c	0x2bf7B0x232fB0x137c
0x2c22B0x232fB0x137c	0x2c28B0x232fB0x137c
0x3199B0x232fB0x137c	0x31c8B0x232fB0x137c
0x2c3dB0x232fB0x137c	0x2c4aB0x232fB0x137c
0x306cB0x232fB0x137c	0x308bB0x232fB0x137c
0x2c97B0x232fB0x137c	0x2cd7B0x232fB0x137c
0x2ce4B0x232fB0x137c	0x2d32B0x232fB0x137c
0x2d5fB0x232fB0x137c	0x2da1B0x232fB0x137c
0x2dceB0x232fB0x137c	0x2de0B0x232fB0x137c
0x2e75B0x232fB0x137c	0x2e8bB0x232fB0x137c
0x2e8fB0x232fB0x137c	0x2e9aB0x232fB0x137c
0x2ec9B0x232fB0x137c	0x2ee5B0x232fB0x137c
0x2f4bB0x232fB0x137c	0x2f8eB0x232fB0x137c
0x3092B0x232fB0x137c	0x3098B0x232fB0x137c
0x30d6B0x232fB0x137c	0x3105B0x232fB0x137c
0x312bB0x232fB0x137c	0x315aB0x232fB0x137c
0x31f3B0x232fB0x137c	0x31f9B0x232fB0x137c
0x32ceB0x232fB0x137c	0x32feB0x232fB0x137c
0x593dB0x232fB0x137c	0x594bB0x232fB0x137c
0x3253B0x232fB0x137c	0x328fB0x232fB0x137c
0x3ed2B0x232fB0x137c	0x3eeaB0x232fB0x137c
0x401dB0x232fB0x137c	0x402cB0x232fB0x137c
0x3329B0x232fB0x137c	0x332fB0x232fB0x137c
0x3344B0x232fB0x137c	0x3351B0x232fB0x137c
0x59b8B0x232fB0x137c	0x59c6B0x232fB0x137c
0x3377B0x232fB0x137c	0x337dB0x232fB0x137c
0x342aB0x232fB0x137c	0x3431B0x232fB0x137c
0x3477B0x232fB0x137c	0x3488B0x232fB0x137c
0x345aB0x232fB0x137c	0x346eB0x232fB0x137c
0x34fbB0x232fB0x137c	0x352aB0x232fB0x137c
0x3f37B0x232fB0x137c	0x3f4dB0x232fB0x137c
0x3f51B0x232fB0x137c	0x3f5cB0x232fB0x137c
0x3f65B0x232fB0x137c	0x3f9dB0x232fB0x137c
0x3fc3B0x232fB0x137c	0x3fcdB0x232fB0x137c
0x406cB0x232fB0x137c	0x40abB0x232fB0x137c
0x40afB0x232fB0x137c	0x40baB0x232fB0x137c
0x594fB0x232fB0x137c	0x596aB0x232fB0x137c
0x59caB0x232fB0x137c	0x59e5B0x232fB0x137c
0x2de0B0x232fB0x137c	0x2dfdB0x232fB0x137c
0x3431B0x232fB0x137c	0x3439B0x232fB0x137c
0x48f3B0x57e8B0x232fB0x137c	0x4904B0x57e8B0x232fB0x137c
0x48f3B0x57f3B0x232fB0x137c	0x4904B0x57f3B0x232fB0x137c
0x49d1B0x5803B0x232fB0x137c	0x49dcB0x5803B0x232fB0x137c
0x48f3B0x5971B0x232fB0x137c	0x4904B0x5971B0x232fB0x137c
0x48f3B0x597fB0x232fB0x137c	0x4904B0x597fB0x232fB0x137c
0x48f3B0x5999B0x232fB0x137c	0x4904B0x5999B0x232fB0x137c
0x4e55B0x59ecB0x232fB0x137c	0x4e66B0x59ecB0x232fB0x137c
0x4feaB0x2d3bB0x232fB0x137c	0x4ff8B0x2d3bB0x232fB0x137c
0x48f3B0x4ffcB0x2d3bB0x232fB0x137c	0x4904B0x4ffcB0x2d3bB0x232fB0x137c
0x4feaB0x2daaB0x232fB0x137c	0x4ff8B0x2daaB0x232fB0x137c
0x48f3B0x4ffcB0x2daaB0x232fB0x137c	0x4904B0x4ffcB0x2daaB0x232fB0x137c
0x4feaB0x2f27B0x232fB0x137c	0x4ff8B0x2f27B0x232fB0x137c
0x48f3B0x4ffcB0x2f27B0x232fB0x137c	0x4904B0x4ffcB0x2f27B0x232fB0x137c
0x5920B0x2f97B0x232fB0x137c	0x592eB0x2f97B0x232fB0x137c
0x4e55B0x5932B0x2f97B0x232fB0x137c	0x4e66B0x5932B0x2f97B0x232fB0x137c
0x487eB0x34deB0x232fB0x137c	0x488bB0x34deB0x232fB0x137c
0x48a8B0x488eB0x34deB0x232fB0x137c	0x48b1B0x488eB0x34deB0x232fB0x137c
0x5426B0x1ab5B0x137c	0x543dB0x1ab5B0x137c
0x5441B0x1ab5B0x137c	0x544cB0x1ab5B0x137c
